image_id,image description,frames,Emotions,Values,Triggers
16,three paintings of a woman with a baby and other people,"frame:People, frame:PeopleByAge",,folk:Family,"https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
17,a painting of jesus on the cross with two women and a man,"frame:People, frame:CauseToPerceive",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-Jesus-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-Cross-noun-3"
18,a painting of a group of people sitting around a baby,"frame:Organization, frame:Posture, frame:Placing, frame:CauseToPerceive, frame:PeopleByAge, frame:Aggregate, frame:ChangePosture, frame:BeingLocated, frame:People",,folk:Family,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
19,a close up of a tapestry with a painting of a group of people,"frame:People, frame:Organization, frame:CauseToPerceive, frame:Aggregate",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-tapestry-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
20,a painting of two men wrestling in a field,frame:CauseToPerceive,,,"https://w3id.org/framester/wn/wn30/instances/synset-field-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1"
21,a painting of jesus with birds and doves in a circle,"frame:People, frame:CauseToPerceive, frame:Shapes",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-circle-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-Jesus-noun-1"
22,a painting of a man laying on a woman's chest in a room,"frame:ObservableBodyParts, frame:Placing, frame:CauseToPerceive, frame:BuildingSubparts, frame:PartWhole, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-room-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-thorax-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
23,a painting of a group of people sitting around a bed,"frame:Organization, frame:Posture, frame:Placing, frame:CauseToPerceive, frame:Aggregate, frame:Causation, frame:Supply, frame:BuildingSubparts, frame:ChangePosture, frame:BeingLocated, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bed-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
24,a painting of a man laying on a bed with a woman,"frame:Placing, frame:CauseToPerceive, frame:Causation, frame:Supply, frame:BuildingSubparts, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bed-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
25,a painting of jesus on the cross with other people,"frame:People, frame:CauseToPerceive",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-Jesus-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-Cross-noun-3"
26,a painting of a group of people sitting around a tree,"frame:Organization, frame:Posture, frame:Placing, frame:CauseToPerceive, frame:BiologicalArea, frame:Aggregate, frame:ChangePosture, frame:BeingLocated, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-tree-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
27,a painting of jesus is laying on the cross with other people,"frame:People, frame:Placing, frame:CauseToPerceive",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-Jesus-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-Cross-noun-3"
28,an old man in a brown coat and black hat,"frame:Clothing, frame:Age, frame:Accoutrements, frame:Color, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-hat-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-old-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-coat-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-brown-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-black-adjective-1"
29,painting of a woman holding a basket of flowers in a cave,"frame:NaturalFeatures, frame:Manipulation, frame:Containers, frame:CauseToPerceive, frame:Containing, frame:Inclusion, frame:Possession, frame:People",,"folk:Analysis, folk:Control","https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-basket-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cave-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cave-noun-1, https://w3id.org/framester/data/framestercore/Manipulation"
30,a painting of a woman holding a baby in a field,"frame:Manipulation, frame:CauseToPerceive, frame:PeopleByAge, frame:Containing, frame:Inclusion, frame:Possession, frame:People",,"folk:Family, folk:Control","https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-field-noun-1, https://w3id.org/framester/data/framestercore/Manipulation"
31,a painting of a woman and two babies in a landscape,"frame:People, frame:CauseToPerceive",,mft:Authority,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-landscape-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-landscape-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
32,a painting of a group of people on a cross with a man on a cross,"frame:People, frame:Organization, frame:CauseToPerceive, frame:Aggregate",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-Cross-noun-3, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
33,a painting of a man on the cross being taken from the ground,"frame:TakingTime, frame:NaturalFeatures, frame:CauseToPerceive, frame:Needing, frame:HaveAsRequirement, frame:People, frame:RequiredEvent",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-land-noun-4, https://w3id.org/framester/wn/wn30/instances/synset-Cross-noun-3"
34,a painting of a woman holding a knife and a man,"frame:People, frame:CauseToPerceive, frame:Weapon",,mft:Harm,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-knife-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-knife-noun-1"
35,a painting of a woman in a bikini holding a knife,"frame:Clothing, frame:CauseToPerceive, frame:Weapon, frame:People",,mft:Harm,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bikini-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-knife-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-knife-noun-1"
36,a painting of a woman in a green dress holding a drawing,"frame:People, frame:CauseToPerceive, frame:Color, frame:Clothing",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-drawing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dress-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-green-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
37,a painting of a man in a black coat and a brown hat,"frame:Clothing, frame:Accoutrements, frame:CauseToPerceive, frame:Color, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-hat-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-coat-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-brown-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-black-adjective-1"
38,a painting of a young girl in a white dress sitting on a chair,"frame:Clothing, frame:Age, frame:Posture, frame:Placing, frame:CauseToPerceive, frame:Color, frame:ChangePosture, frame:BeingLocated, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-girl-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dress-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-chair-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-young-adjective-1"
40,a painting of a painting of a large crowd of people,"frame:Size, frame:CauseToPerceive, frame:Aggregate, frame:Dimension, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-crowd-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-large-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1"
41,a painting of a man and a woman with a horse,"frame:Assistance, frame:CauseToPerceive, frame:People",,"mft:Care, folk:Helping, bhv:Benevolence","https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-horse-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/data/framestercore/Assistance, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-horse-noun-1"
43,a painting of a man with a sword and a rope,"frame:People, frame:CauseToPerceive, frame:Connectors, frame:Weapon",,folk:Control,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rope-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rope-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sword-noun-1"
44,a painting of a woman sitting next to a spinning wheel,"frame:Posture, frame:Placing, frame:CauseToPerceive, frame:ChangePosture, frame:BeingLocated, frame:People, frame:Artifact",,,"https://w3id.org/framester/wn/wn30/instances/synset-spinning-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-wheel-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
45,a painting of a man sitting on a bed with a skull,"frame:ObservableBodyParts, frame:Posture, frame:Placing, frame:CauseToPerceive, frame:Causation, frame:Supply, frame:People, frame:ChangePosture, frame:BeingLocated, frame:BuildingSubparts",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-skull-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bed-noun-1"
46,a painting of three nudes and a snake in a landscape,frame:CauseToPerceive,,mft:Authority,"https://w3id.org/framester/wn/wn30/instances/synset-snake-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-landscape-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-landscape-noun-1"
47,a painting of a man and woman in a wooded area with animals,"frame:People, frame:CauseToPerceive, frame:Locale",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-area-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-wooded-adjective-1"
48,a painting of a naked woman holding a knife in a gold frame,"frame:Manipulation, frame:CauseToPerceive, frame:Containing, frame:Weapon, frame:Inclusion, frame:Possession, frame:People, frame:Wearing",,"mft:Harm, folk:Control","https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-frame-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bare-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-knife-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-knife-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-gold-noun-3, https://w3id.org/framester/data/framestercore/Manipulation"
49,a painting of a man falling off a cliff with a woman in the foreground,"frame:People, frame:NaturalFeatures, frame:CauseToPerceive, frame:MotionDirectional",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-foreground-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-off-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-cliff-noun-1"
50,a painting of a naked man laying on a rock with other men,"frame:CauseHarm, frame:Placing, frame:CauseToPerceive, frame:People, frame:Wearing",,mft:Harm,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/data/framestercore/CauseHarm, https://w3id.org/framester/wn/wn30/instances/synset-bare-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-rock-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rock-noun-1"
51,a painting of a man on a cross with a sign above him,"frame:People, frame:CauseToPerceive, frame:Sign",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sign-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-Cross-noun-3"
52,a painting of a woman in a hat writing a letter,"frame:SpellingAndPronouncing, frame:Text, frame:Accoutrements, frame:CauseToPerceive, frame:People, frame:TextCreation",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-hat-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-letter-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
53,a painting of a family in a room with a table and a man holding a baby,"frame:People, frame:CauseToPerceive, frame:PeopleByAge, frame:BuildingSubparts",,folk:Family,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-table-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-room-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-family-noun-1"
54,a painting of a harbor with many ships in it,"frame:CauseToPerceive, frame:LocaleByUse",,mft:Authority,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-seaport-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-seaport-noun-1"
55,a painting of a group of men standing around a man laying on the ground,"frame:Organization, frame:NaturalFeatures, frame:Posture, frame:Placing, frame:CauseToPerceive, frame:Aggregate, frame:ChangePosture, frame:BeingLocated, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-land-noun-4, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
56,painting of a man on a horse being led into a crowd,"frame:Cotheme, frame:CauseToPerceive, frame:Aggregate, frame:Causation, frame:TalkingInto, frame:People, frame:Assistance",,"mft:Care, folk:Helping, bhv:Benevolence","https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-horse-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-crowd-noun-1, https://w3id.org/framester/data/framestercore/Assistance, https://w3id.org/framester/wn/wn30/instances/synset-horse-noun-1"
57,a painting of a man laying on the ground with other people,"frame:People, frame:Placing, frame:CauseToPerceive, frame:NaturalFeatures",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-land-noun-4, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1"
58,a painting of a group of men in military clothing standing on a beach,"frame:Clothing, frame:NaturalFeatures, frame:Organization, frame:Posture, frame:Placing, frame:CauseToPerceive, frame:Aggregate, frame:ChangePosture, frame:BeingLocated",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-military-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-beach-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-clothing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
59,a painting of a woman sitting on a throne surrounded by angels,"frame:Posture, frame:Besieging, frame:Placing, frame:CauseToPerceive, frame:ChangePosture, frame:BeingLocated, frame:People, frame:LocativeRelation",,,"https://w3id.org/framester/wn/wn30/instances/synset-throne-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
60,a painting of a group of people in a room with a baby,"frame:Organization, frame:CauseToPerceive, frame:PeopleByAge, frame:Aggregate, frame:People, frame:BuildingSubparts",,folk:Family,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-room-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
61,a painting of a couple of people and a dog in a rocky area,"frame:CauseToPerceive, frame:PersonalRelationship, frame:Animals, frame:Locale, frame:People",,"folk:Association, mft:Loyalty","https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-couple-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-couple-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rocky-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-area-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dog-noun-1"
62,a painting of a woman in a black dress standing next to a rock,"frame:Clothing, frame:CauseHarm, frame:Posture, frame:Placing, frame:CauseToPerceive, frame:Color, frame:ChangePosture, frame:BeingLocated, frame:People",,mft:Harm,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rock-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dress-noun-1, https://w3id.org/framester/data/framestercore/CauseHarm, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rock-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-black-adjective-1"
63,a painting of a tree with birds flying around it,"frame:RideVehicle, frame:Motion, frame:Bringing, frame:CauseToPerceive, frame:BiologicalArea, frame:SelfMotion, frame:OperateVehicle",,,"https://w3id.org/framester/wn/wn30/instances/synset-tree-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1"
64,a painting of a group of people on a beach with a man laying on the ground,"frame:Organization, frame:NaturalFeatures, frame:Placing, frame:CauseToPerceive, frame:Aggregate, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-land-noun-4, https://w3id.org/framester/wn/wn30/instances/synset-beach-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
65,a painting of a rainbow over a river with a church in the background,"frame:NaturalFeatures, frame:CauseToPerceive, frame:Buildings",,folk:Structure,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-background-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rainbow-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-river-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-river-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-church-noun-2"
66,a painting of a man and woman in costume with a child,"frame:Clothing, frame:CauseToPerceive, frame:PeopleByAge, frame:People",,mft:Care,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-costume-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1"
67,arafed woman in a white dress with a blindfold on her head,"frame:ObservableBodyParts, frame:Clothing, frame:People, frame:Color",,,"https://w3id.org/framester/wn/wn30/instances/synset-dress-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-head-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-blindfold-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
