image_id,image_description,frames
45,a painting of a man sitting on a bed with a skull,"frame:Posture, frame:BeingLocated, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:ObservableBodyParts, frame:ChangePosture, frame:Supply, frame:Causation, frame:Placing"
46,a painting of three nudes and a snake in a landscape,frame:CauseToPerceive
47,a painting of a man and woman in a wooded area with animals,"frame:CauseToPerceive, frame:Locale, frame:People"
48,a painting of a naked woman holding a knife in a gold frame,"frame:Wearing, frame:Possession, frame:Containing, frame:CauseToPerceive, frame:People, frame:Inclusion, frame:Manipulation, frame:Weapon"
49,a painting of a man falling off a cliff with a woman in the foreground,"frame:MotionDirectional, frame:People, frame:CauseToPerceive, frame:NaturalFeatures"
50,a painting of a naked man laying on a rock with other men,"frame:Wearing, frame:CauseToPerceive, frame:People, frame:CauseHarm, frame:Placing"
51,a painting of a man on a cross with a sign above him,"frame:CauseToPerceive, frame:People, frame:Sign"
52,a painting of a woman in a hat writing a letter,"frame:TextCreation, frame:Accoutrements, frame:Text, frame:CauseToPerceive, frame:People, frame:SpellingAndPronouncing"
53,a painting of a family in a room with a table and a man holding a baby,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:PeopleByAge"
54,a painting of a harbor with many ships in it,"frame:CauseToPerceive, frame:LocaleByUse"
55,a painting of a group of men standing around a man laying on the ground,"frame:Posture, frame:Aggregate, frame:NaturalFeatures, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
56,painting of a man on a horse being led into a crowd,"frame:Cotheme, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:TalkingInto, frame:Assistance, frame:Causation"
57,a painting of a man laying on the ground with other people,"frame:CauseToPerceive, frame:NaturalFeatures, frame:People, frame:Placing"
58,a painting of a group of men in military clothing standing on a beach,
59,a painting of a woman sitting on a throne surrounded by angels,
60,a painting of a group of people in a room with a baby,
61,a painting of a couple of people and a dog in a rocky area,
62,a painting of a woman in a black dress standing next to a rock,
63,a painting of a tree with birds flying around it,
64,a painting of a group of people on a beach with a man laying on the ground,
65,a painting of a rainbow over a river with a church in the background,"frame:CauseToPerceive, frame:NaturalFeatures, frame:Buildings"
66,a painting of a man and woman in costume with a child,"frame:CauseToPerceive, frame:Clothing, frame:People, frame:PeopleByAge"
67,arafed woman in a white dress with a blindfold on her head,"frame:Color, frame:People, frame:ObservableBodyParts, frame:Clothing"
68,a painting of a group of people standing on top of a beach,"frame:Posture, frame:Aggregate, frame:NaturalFeatures, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Supply, frame:Placing, frame:Organization, frame:BeingLocated"
69,a painting of two men in red coats and a dog on a snowy hill,"frame:CauseToPerceive, frame:Color, frame:Animals, frame:NaturalFeatures"
70,a painting of a group of people standing around a dog,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:Animals, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
71,a painting of a boat in a body of water with a person on it,"frame:CauseToPerceive, frame:People, frame:Vehicle, frame:PartWhole, frame:Substance"
72,painting of a couple sitting in a field with sheep,"frame:Posture, frame:CauseToPerceive, frame:Animals, frame:ChangePosture, frame:Placing, frame:PersonalRelationship, frame:BeingLocated"
73,a painting of a man sitting on a rock next to a river,"frame:Posture, frame:NaturalFeatures, frame:CauseToPerceive, frame:People, frame:CauseHarm, frame:ChangePosture, frame:Placing, frame:BeingLocated"
74,a painting of a woman sitting on a bed with a bird flying by,"frame:Posture, frame:ChangePosture, frame:Motion, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Bringing, frame:SelfMotion, frame:OperateVehicle, frame:Supply, frame:Causation, frame:RideVehicle, frame:Placing, frame:BeingLocated"
75,a painting of a group of women in a room with a man and a woman,"frame:Aggregate, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Organization"
76,arafed pile of skulls and birds in a desert landscape,"frame:BiologicalArea, frame:Filling, frame:MassMotion, frame:AboundingWith, frame:ComeTogether, frame:Placing"
77,a painting of a man with many heads and a lot of other heads,"frame:Quantity, frame:People, frame:Aggregate, frame:CauseToPerceive"
78,a painting of jesus on the cross with a woman kneeling in front of him,"frame:Posture, frame:BodyMovement, frame:CauseToPerceive, frame:People, frame:PartOrientational, frame:ChangePosture"
79,painting of a painting of a group of people in a field,"frame:CauseToPerceive, frame:People, frame:Aggregate, frame:Organization"
80,a painting of a snowy city with a lot of buildings,"frame:Aggregate, frame:Quantity, frame:CauseToPerceive, frame:PoliticalLocales, frame:LocaleByUse"
81,a painting of a man laying on a bed with a knife in his hand,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:ObservableBodyParts, frame:Supply, frame:Causation, frame:Weapon, frame:Placing"
82,a painting of a large group of people standing in a room,"frame:Posture, frame:Aggregate, frame:Dimension, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Size, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
84,painting of a man and woman embracing in a room with a fireplace,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:ArchitecturalPart, frame:AdoptSelection"
85,painting of a woman laying on a bed with a cat and other people,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Animals, frame:Supply, frame:Causation, frame:Placing"
86,a painting of a field with a house in the distance,"frame:CauseToPerceive, frame:Range, frame:Buildings"
87,painting of blue irises in a garden with a white butterfly,"frame:CauseToPerceive, frame:Color, frame:LocaleByUse"
88,painting of a view of a harbor with boats and buildings,"frame:CauseToPerceive, frame:Range, frame:LocaleByUse"
89,a painting of a person walking in front of a house,"frame:CauseToPerceive, frame:People, frame:PartOrientational, frame:Buildings"
90,painting of a woman in a bathtub with a flower in her hair,"frame:CauseToPerceive, frame:BuildingSubparts, frame:HairConfiguration, frame:ObservableBodyParts, frame:Progress, frame:People, frame:Grooming"
91,a painting of a woman holding a fan in front of a painting,"frame:Possession, frame:Containing, frame:CauseToPerceive, frame:PartOrientational, frame:People, frame:Inclusion, frame:Manipulation"
93,a painting of two naked women sitting on a beach next to a body of water,"frame:Posture, frame:NaturalFeatures, frame:Wearing, frame:CauseToPerceive, frame:PartWhole, frame:ChangePosture, frame:Substance, frame:Placing, frame:BeingLocated"
94,a painting of a man and woman sitting on a couch in a room,"frame:Posture, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:ChangePosture, frame:Placing, frame:BeingLocated"
95,painting of a woman in a boat with a cat on the back,"frame:CauseToPerceive, frame:People, frame:ObservableBodyParts, frame:Animals, frame:Vehicle"
96,a painting of a woman with a skull and a man with a child,"frame:CauseToPerceive, frame:People, frame:ObservableBodyParts, frame:PeopleByAge"
97,a painting of three women and a man laying on a bed,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Supply, frame:Causation, frame:Placing"
98,a painting of a man in a suit and tie standing in a room full of zombies,"frame:CauseToPerceive, frame:Fullness, frame:BuildingSubparts, frame:People, frame:AboundingWith, frame:OccupyRank, frame:Clothing"
100,painting of a church with people in front of it and a tree,"frame:BiologicalArea, frame:CauseToPerceive, frame:People, frame:PartOrientational, frame:Buildings"
101,a close up of a painting of a person on a bed,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Supply, frame:Causation, frame:Placing"
102,arafed painting of a black and white square with a white border,"frame:CauseToPerceive, frame:Color, frame:LocaleByUse"
114,a painting of a group of people standing in front of a painting,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:PartOrientational, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
115,a painting of a man and woman sitting in a room with a baby,"frame:Posture, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:PeopleByAge, frame:ChangePosture, frame:Placing, frame:BeingLocated"
116,a close up of a painting of a man on a horse,"frame:CauseToPerceive, frame:Assistance, frame:People"
117,a painting of a group of people standing around a building,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:Buildings, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
118,arafed painting of a woman in a bed with a cat,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Animals, frame:Supply, frame:Causation, frame:Placing"
120,a painting of a man holding a baby and two other people,"frame:CauseToPerceive, frame:People, frame:PeopleByAge"
121,arafed painting of a painting of a group of people in a room,"frame:Aggregate, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Organization"
122,a painting of a group of people in a wooded area,"frame:Locale, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:Organization"
123,a painting of a man sitting on a ledge with angels,"frame:Posture, frame:NaturalFeatures, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:BeingLocated"
124,a painting of a large crowd of people in a field,"frame:Aggregate, frame:Dimension, frame:CauseToPerceive, frame:People, frame:Size"
125,a painting of a painting of a group of people in a field,"frame:CauseToPerceive, frame:People, frame:Aggregate, frame:Organization"
128,a painting of a group of men sitting on the ground,"frame:Posture, frame:Aggregate, frame:NaturalFeatures, frame:CauseToPerceive, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
129,a painting of a woman in a blue dress holding a cat,"frame:Color, frame:CauseToPerceive, frame:People, frame:Animals, frame:Clothing"
131,a painting of a man laying on the ground with a knife,"frame:NaturalFeatures, frame:CauseToPerceive, frame:People, frame:Weapon, frame:Placing"
132,a painting of a group of men with shovels and a man with a hat,"frame:Aggregate, frame:Accoutrements, frame:CauseToPerceive, frame:People, frame:Organization"
133,a painting of jesus is surrounded by many people,"frame:CauseToPerceive, frame:People, frame:LocativeRelation, frame:Besieging"
134,a painting of a woman in a red dress and gold jewelry,"frame:Accoutrements, frame:Color, frame:CauseToPerceive, frame:People, frame:Clothing"
135,a painting of a group of men sitting around a table eating,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
136,a painting of two women are being tended by a man,"frame:CauseToPerceive, frame:People"
137,a painting of a family sitting around a table eating food,"frame:Posture, frame:CauseToPerceive, frame:Food, frame:ChangePosture, frame:Placing, frame:BeingLocated"
138,"a painting of two children in renaissance clothing, one holding a sword","frame:CauseToPerceive, frame:Timespan, frame:Clothing, frame:Weapon, frame:LocationInTime"
139,a painting of a man riding a horse in a wooded area,"frame:Locale, frame:Travel, frame:CauseToPerceive, frame:People, frame:OperateVehicle, frame:Assistance, frame:RideVehicle"
140,a painting of a group of people standing on a beach next to a body of water,"frame:Posture, frame:Aggregate, frame:NaturalFeatures, frame:CauseToPerceive, frame:People, frame:PartWhole, frame:ChangePosture, frame:Substance, frame:Placing, frame:Organization, frame:BeingLocated"
141,a painting of a group of people sitting on a cloud,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
142,a painting of a woman playing a guitar in a room,"frame:CauseToPerceive, frame:NoiseMakers, frame:People, frame:BuildingSubparts"
143,a painting of a man laying in a bed with a cross and other items,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Supply, frame:Causation, frame:Placing"
144,painting of a naval scene with a ship in the water,"frame:LocaleByEvent, frame:Military, frame:CauseToPerceive, frame:Vehicle, frame:Substance"
145,painting of a city with a river and a bridge in the middle,"frame:NaturalFeatures, frame:PartInnerOuter, frame:CauseToPerceive, frame:Roadways, frame:PoliticalLocales, frame:LocaleByUse"
146,a painting of a group of people standing around a crowd of people,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
147,a painting of a woman sitting in a chair with a blue sash,"frame:Posture, frame:Accoutrements, frame:ClothingParts, frame:Color, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:BeingLocated"
148,a painting of a boat in a stormy sea with a full moon,"frame:Locale, frame:Weather, frame:NaturalFeatures, frame:CauseToPerceive, frame:Fullness, frame:AboundingWith, frame:Vehicle"
149,a painting of a group of men on horses with flags,"frame:CauseToPerceive, frame:Aggregate, frame:Organization"
150,painting of a man standing on a rock in a rocky area,"frame:Locale, frame:Posture, frame:CauseToPerceive, frame:People, frame:CauseHarm, frame:ChangePosture, frame:Placing, frame:BeingLocated"
151,a painting of a mountain scene with a person on a horse,"frame:NaturalFeatures, frame:LocaleByEvent, frame:CauseToPerceive, frame:People, frame:Assistance"
152,a painting of a painting of a river with people on it,"frame:CauseToPerceive, frame:People, frame:NaturalFeatures"
153,a painting of a courtroom with a large group of people sitting around,"frame:Posture, frame:Aggregate, frame:Dimension, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Size, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
154,a painting of a group of men standing around a horse drawn carriage,"frame:Posture, frame:Aggregate, frame:BeingLocated, frame:IntentionallyCreate, frame:CreatePhysicalArtwork, frame:Motion, frame:CauseToPerceive, frame:Vehicle, frame:ChangePosture, frame:Assistance, frame:CreateRepresentation, frame:Organization, frame:Placing"
155,a painting of a man holding a sword in front of two men,"frame:Possession, frame:Containing, frame:CauseToPerceive, frame:PartOrientational, frame:People, frame:Inclusion, frame:Manipulation, frame:Weapon"
156,a painting of a person standing in a field with a sky background,"frame:CauseToPerceive, frame:Locale, frame:People, frame:OccupyRank"
157,painting of two women in a cemetery with a horse and a cart,"frame:CauseToPerceive, frame:Assistance, frame:Bringing, frame:LocaleByUse"
158,a painting of a woman sitting in a chair with a mirror,"frame:Posture, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:BeingLocated"
161,a painting of a group of men in uniform standing next to each other,"frame:CauseToPerceive, frame:Aggregate, frame:Organization, frame:OccupyRank"
162,painting of a painting of a man on a horse with a sword,"frame:CauseToPerceive, frame:Assistance, frame:People, frame:Weapon"
163,a painting of a group of people sitting on a boat,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:Vehicle, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
164,a painting of a man in uniform riding a horse in a field,"frame:Travel, frame:CauseToPerceive, frame:People, frame:Clothing, frame:OperateVehicle, frame:Assistance, frame:RideVehicle"
165,a painting of a street with tables and chairs in the middle of it,"frame:CauseToPerceive, frame:PartInnerOuter, frame:Roadways"
166,a painting of a group of naked women sitting on top of a lily pond,"frame:Posture, frame:Aggregate, frame:NaturalFeatures, frame:Wearing, frame:CauseToPerceive, frame:ChangePosture, frame:Supply, frame:Placing, frame:Organization, frame:BeingLocated"
167,a painting of a wave crashing over rocks on a beach,"frame:CauseToPerceive, frame:Event, frame:MotionNoise, frame:NaturalFeatures"
168,a painting of a woman tied up to a door with a rope,"frame:Closure, frame:Connectors, frame:RopeManipulation, frame:Immobilization, frame:CauseToPerceive, frame:KnotCreation, frame:People, frame:Attaching, frame:ConnectingArchitecture, frame:InhibitMovement"
169,a painting of a group of men standing around a crowd,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
170,painting of two orange flowers on a red background,"frame:CauseToPerceive, frame:Color"
171,a painting of a group of people standing around a painting,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
172,"frida de frida and frida, frida and frida, frida and fr",frame:Substance
174,a painting of a man with a speech bubble above his head,"frame:Excreting, frame:Text, frame:CauseToPerceive, frame:SpeakOnTopic, frame:People, frame:ObservableBodyParts"
175,a painting of a woman in a blue dress is crying,"frame:Color, frame:CommunicationNoise, frame:CauseToPerceive, frame:People, frame:MakeNoise, frame:Clothing"
176,a close up of a painting of a man holding a gun,"frame:CauseToPerceive, frame:People, frame:Weapon"
177,painting of a woman and a man in a boat in the water,"frame:CauseToPerceive, frame:People, frame:Substance, frame:Vehicle"
178,painting of a group of people in a crowd with a man in the middle,"frame:Aggregate, frame:PartInnerOuter, frame:CauseToPerceive, frame:People, frame:Organization"
179,a painting of a group of people in a field with a sky background,"frame:Locale, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:Organization"
180,a painting of a man on a horse with a bird on his back,"frame:CauseToPerceive, frame:Assistance, frame:People, frame:ObservableBodyParts"
182,a painting of a woman reading a book in a room,"frame:Text, frame:PartOrderedSegments, frame:CauseToPerceive, frame:BuildingSubparts, frame:People"
184,a close up of a weaving machine with a lot of different colors,"frame:Gizmo, frame:Aggregate, frame:Quantity, frame:PathShape, frame:IntentionallyCreate"
185,a painting of a boat in rough water with a lighthouse in the background,"frame:CauseToPerceive, frame:Substance, frame:Vehicle, frame:Buildings"
186,a painting of a woman in a blue dress sitting down,"frame:Posture, frame:Color, frame:CauseToPerceive, frame:People, frame:Willingness, frame:Clothing, frame:Placing, frame:ChangePosture, frame:BeingLocated"
187,a drawing of a group of people sitting on a beach,"frame:Posture, frame:Aggregate, frame:NaturalFeatures, frame:People, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
188,a painting of a cave with a building in the background,"frame:CauseToPerceive, frame:Buildings, frame:NaturalFeatures"
189,a painting of a yellow house in a field with a tree,"frame:CauseToPerceive, frame:Color, frame:BiologicalArea, frame:Buildings"
192,a painting of a city with a lot of tall buildings,"frame:Aggregate, frame:MeasurableAttributes, frame:BodyDescriptionHolistic, frame:Quantity, frame:Dimension, frame:CauseToPerceive, frame:PoliticalLocales, frame:LocaleByUse"
193,painting of a man walking on a hill with a dog,"frame:Cotheme, frame:NaturalFeatures, frame:CauseToPerceive, frame:People, frame:Animals, frame:SelfMotion"
194,painting of two girls in yellow dresses dancing in a forest,"frame:CauseToPerceive, frame:Color, frame:BiologicalArea, frame:SelfMotion"
195,a drawing of a castle with a tower and a clock tower,"frame:Buildings, frame:BuildingSubparts, frame:Dimension"
200,a painting of a horse jumping in the air with its front legs spread,"frame:Filling, frame:Dispersal, frame:CauseToPerceive, frame:ChangePositionOnAScale, frame:Assistance, frame:Substance"
201,a painting of a woman sitting in a room with a globe and other objects,"frame:Locale, frame:Posture, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:ChangePosture, frame:Placing, frame:BeingLocated"
202,painting of two people in a canoe with a cat on the water,"frame:CauseToPerceive, frame:People, frame:Vehicle, frame:Animals, frame:Substance"
203,arafed painting of a group of men sitting around a table,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
204,painting of a group of people standing around a child,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:PeopleByAge, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
205,a painting of a large group of people standing around a stage,"frame:Posture, frame:Aggregate, frame:Dimension, frame:TimePeriodOfAction, frame:CauseToPerceive, frame:People, frame:Size, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
206,a painting of a crucif with three people and a bird,"frame:CauseToPerceive, frame:People"
207,a painting of a woman holding a baby and two children,"frame:CauseToPerceive, frame:People, frame:PeopleByAge"
208,a painting of a woman holding a baby in her arms,"frame:Possession, frame:Containing, frame:CauseToPerceive, frame:People, frame:PeopleByAge, frame:Inclusion, frame:Manipulation"
209,a painting of jesus is surrounded by angels and other people,"frame:CauseToPerceive, frame:People, frame:LocativeRelation, frame:Besieging"
210,arafed painting of a group of people in a courtyard,"frame:Aggregate, frame:CauseToPerceive, frame:Organization, frame:People, frame:LocaleByUse"
211,a painting of a woman with a bird in her hand,"frame:CauseToPerceive, frame:People, frame:ObservableBodyParts"
212,a painting of a woman holding a baby in her lap,"frame:Possession, frame:Containing, frame:CauseToPerceive, frame:People, frame:ObservableBodyParts, frame:PeopleByAge, frame:Inclusion, frame:Manipulation"
213,a painting of a man holding a baby and a woman holding a baby,"frame:CauseToPerceive, frame:People, frame:PeopleByAge"
214,a painting of a man with a black hat and a flower,"frame:Accoutrements, frame:Color, frame:CauseToPerceive, frame:People, frame:Progress"
215,a painting of a man holding a baby and a woman holding a child,"frame:CauseToPerceive, frame:People, frame:PeopleByAge"
216,a painting of a woman holding a child and a baby,"frame:CauseToPerceive, frame:People, frame:PeopleByAge"
217,painting of a couple of women and a child in a garden,"frame:CauseToPerceive, frame:LocaleByUse, frame:PersonalRelationship, frame:PeopleByAge"
218,a painting of a woman with a cat in her lap,"frame:CauseToPerceive, frame:People, frame:ObservableBodyParts, frame:Animals"
219,a painting of a woman holding a brush and a palette,"frame:BiologicalArea, frame:Diversity, frame:CauseToPerceive, frame:Scope, frame:People"
220,a painting of a woman and two men with a horse,"frame:CauseToPerceive, frame:Assistance, frame:People"
221,a painting of a man on a horse being held by a woman,"frame:CauseToPerceive, frame:Assistance, frame:People"
222,a painting of a woman in a black dress with a white collar,"frame:Color, frame:ClothingParts, frame:CauseToPerceive, frame:People, frame:Clothing"
223,a painting of a naked man and a naked woman laying on a rock,"frame:Wearing, frame:CauseToPerceive, frame:People, frame:CauseHarm, frame:Placing"
224,a painting of a group of people standing around a tree,"frame:Posture, frame:Aggregate, frame:BiologicalArea, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
225,a painting of a woman in a red dress and white dress,"frame:CauseToPerceive, frame:Color, frame:People, frame:Clothing"
226,a painting of a man is being taken out of a room by a woman,"frame:Cotheme, frame:EarningsAndLosses, frame:ChangeOfLeadership, frame:Conquering, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Bringing, frame:Getting, frame:Removing, frame:Taking, frame:ChangeOfQuantityOfPossession"
227,a painting of a woman in a purple dress standing under a tree,"frame:BiologicalArea, frame:Color, frame:CauseToPerceive, frame:People, frame:OccupyRank, frame:Clothing"
228,a painting of a group of naked women in the water,"frame:Aggregate, frame:Wearing, frame:CauseToPerceive, frame:Substance, frame:Organization"
229,painting of a woman and a dog in a room,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Animals"
230,a painting of a house in a field with mountains in the background,"frame:CauseToPerceive, frame:Buildings"
231,painting of a goat with a hat and a woman with a flower,"frame:CauseToPerceive, frame:People, frame:Progress, frame:Accoutrements"
232,painting of a couple sitting on a rock by the water,"frame:Posture, frame:CauseToPerceive, frame:CauseHarm, frame:ChangePosture, frame:Substance, frame:Placing, frame:PersonalRelationship, frame:BeingLocated"
233,a painting of a dog laying on a table next to a clock,"frame:CauseToPerceive, frame:Placing, frame:Animals, frame:Dimension"
244,a man with a mustache and a black jacket on a poster,"frame:Color, frame:People, frame:ObservableBodyParts, frame:Attaching, frame:Clothing"
247,arafed little girl sitting in a chair with a banana in her hand,"frame:Posture, frame:Dimension, frame:Food, frame:ObservableBodyParts, frame:Size, frame:ChangePosture, frame:Placing, frame:BeingLocated"
251,a close up of a person wearing pink pants and a denim jacket,"frame:Clothing, frame:People, frame:Color"
252,a close up of a man adjusting his tie with a quote,"frame:Adjusting, frame:Clothing, frame:Compliance, frame:People"
253,a close up of a panda bear sitting on a tree branch,"frame:Posture, frame:BiologicalArea, frame:BeingLocated, frame:ChangePosture, frame:Placing"
