image_id,image description,frames,Emotions,Values
17,a painting of jesus on the cross with two women and a man,,,
1,a painting of a woman in a gold dress standing on a boat,,,
1,a painting of a woman in a gold dress excitedly standing on a boat,,,
2,a painting of a group of people sitting around a table,,,
1,a painting of a woman in a gold dress excitedly standing on a boat,,,
2,a painting of a group of people sitting around a table,,,
3,a painting of a man on a horse being attacked by a group of men,,,"bhv:Benevolence, folk:Helping, mft:Care, mft:Harm"
4,painting of a castle on a hill overlooking a lake and a man on a horse,,,"bhv:Benevolence, folk:Helping, mft:Care"
6,a painting of a rainbow over a waterfall with a rainbow in the sky,,,
8,a painting of three women on a boat with a view of the water,,,
9,a painting of a woman in a white dress dancing with a group of people,,,
12,a painting of a painting of a wave in the ocean,,,
13,a painting of three spheres floating in the air over a field,,,
15,a painting of a man sitting in a chair with two wings,,,
16,three paintings of a woman with a baby and other people with fervour,,be:Enjoyment,"folk:Family, folk:Fun"
17,a painting of jesus on the cross with two women and a man,,,
1,a painting of a woman in a gold dress excitedly standing on a boat,"frame:People, frame:BeingLocated, frame:ChangePosture, frame:CauseToPerceive, frame:Clothing, frame:Posture, frame:Placing, frame:Vehicle",,
2,a painting of a group of people sitting around a table,"frame:People, frame:BeingLocated, frame:ChangePosture, frame:Organization, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Aggregate",,
3,a painting of a man on a horse being attacked by a group of men,"frame:People, frame:Organization, frame:CauseToPerceive, frame:Assistance, frame:Aggregate, frame:Attack",,"folk:Helping, mft:Care, bhv:Benevolence, mft:Harm"
3,a painting of a man on a horse being attacked by a group of men,"frame:Organization, frame:Assistance, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:Attack",,"mft:Care, mft:Harm, bhv:Benevolence, folk:Helping"
3,a painting of a man on a horse being attacked by a group of men,"frame:Attack, frame:Aggregate, frame:Assistance, frame:CauseToPerceive, frame:People, frame:Organization",,"bhv:Benevolence, mft:Harm, mft:Care, folk:Helping"
3,a painting of a man on a horse quarreling with a group of men,"frame:CauseToPerceive, frame:People, frame:Quarreling, frame:Aggregate, frame:Organization, frame:Assistance",be:Anger,"bhv:Benevolence, mft:Harm, mft:Care, folk:Helping"
1,a painting of a woman in a gold dress standing on a boat,"frame:Vehicle, frame:Clothing, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing",,
2,a painting of a group of people sitting around a table,"frame:Aggregate, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Organization",,
3,a painting of a man on a horse being attacked by a group of men,"frame:Aggregate, frame:People, frame:CauseToPerceive, frame:Attack, frame:Assistance, frame:Organization",,"mft:Care, mft:Harm, bhv:Benevolence, folk:Helping"
4,painting of a castle on a hill overlooking a lake and a man on a horse,"frame:Buildings, frame:People, frame:CauseToPerceive, frame:Assistance, frame:NaturalFeatures",,"mft:Care, bhv:Benevolence, folk:Helping"
6,a painting of a rainbow over a waterfall with a rainbow in the sky,"frame:Locale, frame:CauseToPerceive, frame:NaturalFeatures",,
8,a painting of three women on a boat with a view of the water,"frame:Range, frame:Vehicle, frame:Substance, frame:CauseToPerceive",,
9,a painting of a woman in a white dress dancing with a group of people,"frame:Clothing, frame:Aggregate, frame:People, frame:CauseToPerceive, frame:Color, frame:Organization",,
12,a painting of a painting of a wave in the ocean,"frame:Event, frame:CauseToPerceive, frame:NaturalFeatures",,
13,a painting of three spheres floating in the air over a field,"frame:Motion, frame:Substance, frame:CauseToPerceive",,
15,a painting of a man sitting in a chair with two wings,"frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing",,
16,three paintings of a woman with a baby and other people,"frame:People, frame:PeopleByAge",,folk:Family
17,a painting of jesus on the cross with two women and a man,"frame:People, frame:CauseToPerceive",,
18,a painting of a group of people sitting around a baby,"frame:Aggregate, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:PeopleByAge, frame:Placing, frame:Organization",,folk:Family
19,a close up of a tapestry with a painting of a group of people,"frame:People, frame:Aggregate, frame:CauseToPerceive, frame:Organization",,
20,a painting of two men wrestling in a field,frame:CauseToPerceive,,
21,a painting of jesus with birds and doves in a circle,"frame:CauseToPerceive, frame:People, frame:Shapes",,
22,a painting of a man laying on a woman's chest in a room,"frame:ObservableBodyParts, frame:PartWhole, frame:People, frame:CauseToPerceive, frame:BuildingSubparts, frame:Placing",,
23,a painting of a group of people sitting around a bed,"frame:Causation, frame:Aggregate, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Supply, frame:Posture, frame:BuildingSubparts, frame:Placing, frame:Organization",,
24,a painting of a man laying on a bed with a woman,"frame:Causation, frame:People, frame:CauseToPerceive, frame:Supply, frame:BuildingSubparts, frame:Placing",,
25,a painting of jesus on the cross with other people,"frame:People, frame:CauseToPerceive",,
26,a painting of a group of people sitting around a tree,"frame:Aggregate, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:BiologicalArea, frame:Posture, frame:Placing, frame:Organization",,
27,a painting of jesus is laying on the cross with other people,"frame:CauseToPerceive, frame:People, frame:Placing",,
28,an old man in a brown coat and black hat,"frame:Clothing, frame:Accoutrements, frame:People, frame:Age, frame:Color",,
29,painting of a woman holding a basket of flowers in a cave,"frame:Inclusion, frame:Possession, frame:People, frame:CauseToPerceive, frame:Manipulation, frame:Containers, frame:Containing, frame:NaturalFeatures",,"folk:Control, folk:Analysis"
30,a painting of a woman holding a baby in a field,"frame:Inclusion, frame:PeopleByAge, frame:Possession, frame:People, frame:CauseToPerceive, frame:Manipulation, frame:Containing",,"folk:Family, folk:Control"
31,a painting of a woman and two babies in a landscape,"frame:People, frame:CauseToPerceive",,mft:Authority
32,a painting of a group of people on a cross with a man on a cross,"frame:People, frame:Aggregate, frame:CauseToPerceive, frame:Organization",,
33,a painting of a man on the cross being taken from the ground,"frame:Needing, frame:People, frame:TakingTime, frame:CauseToPerceive, frame:HaveAsRequirement, frame:RequiredEvent, frame:NaturalFeatures",,
34,a painting of a woman holding a knife and a man,"frame:People, frame:CauseToPerceive, frame:Weapon",,mft:Harm
35,a painting of a woman in a bikini holding a knife,"frame:People, frame:Clothing, frame:CauseToPerceive, frame:Weapon",,mft:Harm
36,a painting of a woman in a green dress holding a drawing,"frame:People, frame:Color, frame:Clothing, frame:CauseToPerceive",,
37,a painting of a man in a black coat and a brown hat,"frame:Clothing, frame:Accoutrements, frame:People, frame:CauseToPerceive, frame:Color",,
38,a painting of a young girl in a white dress sitting on a chair,"frame:Clothing, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Age, frame:Placing, frame:Color",,
40,a painting of a painting of a large crowd of people,"frame:Aggregate, frame:People, frame:CauseToPerceive, frame:Dimension, frame:Size",,
41,a painting of a man and a woman with a horse,"frame:People, frame:CauseToPerceive, frame:Assistance",,"mft:Care, bhv:Benevolence, folk:Helping"
43,a painting of a man with a sword and a rope,"frame:People, frame:CauseToPerceive, frame:Weapon, frame:Connectors",,folk:Control
44,a painting of a woman sitting next to a spinning wheel,"frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Artifact, frame:Placing",,
45,a painting of a man sitting on a bed with a skull,"frame:Causation, frame:ObservableBodyParts, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Supply, frame:Posture, frame:BuildingSubparts, frame:Placing",,
46,a painting of three nudes and a snake in a landscape,frame:CauseToPerceive,,mft:Authority
47,a painting of a man and woman in a wooded area with animals,"frame:People, frame:Locale, frame:CauseToPerceive",,
48,a painting of a naked woman holding a knife in a gold frame,"frame:Inclusion, frame:Weapon, frame:Possession, frame:People, frame:Wearing, frame:CauseToPerceive, frame:Manipulation, frame:Containing",,"folk:Control, mft:Harm"
49,a painting of a man falling off a cliff with a woman in the foreground,"frame:People, frame:MotionDirectional, frame:CauseToPerceive, frame:NaturalFeatures",,
50,a painting of a naked man laying on a rock with other men,"frame:CauseHarm, frame:People, frame:Wearing, frame:CauseToPerceive, frame:Placing",,mft:Harm
51,a painting of a man on a cross with a sign above him,"frame:CauseToPerceive, frame:People, frame:Sign",,
52,a painting of a woman in a hat writing a letter,"frame:Text, frame:Accoutrements, frame:People, frame:TextCreation, frame:CauseToPerceive, frame:SpellingAndPronouncing",,
53,a painting of a family in a room with a table and a man holding a baby,"frame:PeopleByAge, frame:People, frame:CauseToPerceive, frame:BuildingSubparts",,folk:Family
54,a painting of a harbor with many ships in it,"frame:CauseToPerceive, frame:LocaleByUse",,mft:Authority
55,a painting of a group of men standing around a man laying on the ground,"frame:Aggregate, frame:Organization, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:NaturalFeatures",,
56,painting of a man on a horse being led into a crowd,"frame:TalkingInto, frame:Causation, frame:Aggregate, frame:Cotheme, frame:People, frame:CauseToPerceive, frame:Assistance",,"mft:Care, bhv:Benevolence, folk:Helping"
57,a painting of a man laying on the ground with other people,"frame:People, frame:Placing, frame:CauseToPerceive, frame:NaturalFeatures",,
58,a painting of a group of men in military clothing standing on a beach,"frame:Clothing, frame:Aggregate, frame:Organization, frame:ChangePosture, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:NaturalFeatures",,
59,a painting of a woman sitting on a throne surrounded by angels,"frame:ChangePosture, frame:People, frame:Besieging, frame:BeingLocated, frame:CauseToPerceive, frame:LocativeRelation, frame:Posture, frame:Placing",,
60,a painting of a group of people in a room with a baby,"frame:BuildingSubparts, frame:Aggregate, frame:People, frame:CauseToPerceive, frame:PeopleByAge, frame:Organization",,folk:Family
61,a painting of a couple of people and a dog in a rocky area,"frame:People, frame:Locale, frame:CauseToPerceive, frame:Animals, frame:PersonalRelationship",,"folk:Association, mft:Loyalty"
62,a painting of a woman in a black dress standing next to a rock,"frame:Clothing, frame:ChangePosture, frame:CauseHarm, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Color",,mft:Harm
63,a painting of a tree with birds flying around it,"frame:SelfMotion, frame:Motion, frame:CauseToPerceive, frame:BiologicalArea, frame:Bringing, frame:RideVehicle, frame:OperateVehicle",,
64,a painting of a group of people on a beach with a man laying on the ground,"frame:Aggregate, frame:People, frame:CauseToPerceive, frame:NaturalFeatures, frame:Placing, frame:Organization",,
65,a painting of a rainbow over a river with a church in the background,"frame:Buildings, frame:CauseToPerceive, frame:NaturalFeatures",,folk:Structure
66,a painting of a man and woman in costume with a child,"frame:People, frame:Clothing, frame:CauseToPerceive, frame:PeopleByAge",,mft:Care
67,arafed woman in a white dress with a blindfold on her head,"frame:People, frame:Color, frame:Clothing, frame:ObservableBodyParts",,
68,a painting of a group of people standing on top of a beach,"frame:Aggregate, frame:Organization, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Supply, frame:Posture, frame:Placing, frame:NaturalFeatures",,
69,a painting of two men in red coats and a dog on a snowy hill,"frame:Color, frame:Animals, frame:CauseToPerceive, frame:NaturalFeatures",,
70,a painting of a group of people standing around a dog,"frame:Aggregate, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Animals, frame:Placing, frame:Organization",,
71,a painting of a boat in a body of water with a person on it,"frame:Vehicle, frame:PartWhole, frame:People, frame:CauseToPerceive, frame:Substance",,
72,painting of a couple sitting in a field with sheep,"frame:ChangePosture, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Animals, frame:Placing, frame:PersonalRelationship",,"folk:Association, mft:Loyalty"
73,a painting of a man sitting on a rock next to a river,"frame:ChangePosture, frame:CauseHarm, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:NaturalFeatures",,"mft:Harm, folk:Structure"
74,a painting of a woman sitting on a bed with a bird flying by,"frame:Causation, frame:SelfMotion, frame:ChangePosture, frame:People, frame:Placing, frame:BeingLocated, frame:Motion, frame:CauseToPerceive, frame:Supply, frame:Posture, frame:BuildingSubparts, frame:Bringing, frame:RideVehicle, frame:OperateVehicle",,
75,a painting of a group of women in a room with a man and a woman,"frame:Aggregate, frame:People, frame:CauseToPerceive, frame:BuildingSubparts, frame:Organization",,
76,arafed pile of skulls and birds in a desert landscape,"frame:AboundingWith, frame:MassMotion, frame:BiologicalArea, frame:Filling, frame:Placing, frame:ComeTogether",,mft:Authority
77,a painting of a man with many heads and a lot of other heads,"frame:Quantity, frame:People, frame:Aggregate, frame:CauseToPerceive",,
78,a painting of jesus on the cross with a woman kneeling in front of him,"frame:BodyMovement, frame:ChangePosture, frame:People, frame:CauseToPerceive, frame:Posture, frame:PartOrientational",,mft:Harm
79,painting of a painting of a group of people in a field,"frame:People, frame:Aggregate, frame:CauseToPerceive, frame:Organization",,
80,a painting of a snowy city with a lot of buildings,"frame:Aggregate, frame:LocaleByUse, frame:CauseToPerceive, frame:Quantity, frame:PoliticalLocales",,mft:Authority
81,a painting of a man laying on a bed with a knife in his hand,"frame:Causation, frame:ObservableBodyParts, frame:Weapon, frame:People, frame:CauseToPerceive, frame:Supply, frame:BuildingSubparts, frame:Placing",,mft:Harm
82,a painting of a large group of people standing in a room,"frame:Aggregate, frame:ChangePosture, frame:People, frame:Placing, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:BuildingSubparts, frame:Dimension, frame:Size, frame:Organization",,
84,painting of a man and woman embracing in a room with a fireplace,"frame:ArchitecturalPart, frame:BuildingSubparts, frame:People, frame:CauseToPerceive, frame:AdoptSelection",be:Enjoyment,"mft:Care, folk:Fun"
85,painting of a woman laying on a bed with a cat and other people,"frame:Causation, frame:People, frame:CauseToPerceive, frame:Supply, frame:Animals, frame:BuildingSubparts, frame:Placing",,
86,a painting of a field with a house in the distance,"frame:Range, frame:Buildings, frame:CauseToPerceive",,
87,painting of blue irises in a garden with a white butterfly,"frame:CauseToPerceive, frame:Color, frame:LocaleByUse",,"mft:Care, bhv:Benevolence, folk:Helping"
88,painting of a view of a harbor with boats and buildings,"frame:CauseToPerceive, frame:Range, frame:LocaleByUse",,mft:Authority
89,a painting of a person walking in front of a house,"frame:CauseToPerceive, frame:Buildings, frame:People, frame:PartOrientational",,mft:Harm
90,painting of a woman in a bathtub with a flower in her hair,"frame:Grooming, frame:ObservableBodyParts, frame:People, frame:CauseToPerceive, frame:BuildingSubparts, frame:Progress, frame:HairConfiguration",,"mft:Care, folk:Development"
91,a painting of a woman holding a fan in front of a painting,"frame:Inclusion, frame:Possession, frame:People, frame:CauseToPerceive, frame:Manipulation, frame:PartOrientational, frame:Containing",,"folk:Control, mft:Harm"
93,a painting of two naked women sitting on a beach next to a body of water,"frame:PartWhole, frame:ChangePosture, frame:Wearing, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Substance, frame:NaturalFeatures",,
94,a painting of a man and woman sitting on a couch in a room,"frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:BuildingSubparts, frame:Placing",,
95,painting of a woman in a boat with a cat on the back,"frame:Vehicle, frame:ObservableBodyParts, frame:People, frame:CauseToPerceive, frame:Animals",,
96,a painting of a woman with a skull and a man with a child,"frame:People, frame:ObservableBodyParts, frame:CauseToPerceive, frame:PeopleByAge",,mft:Care
97,a painting of three women and a man laying on a bed,"frame:Causation, frame:People, frame:CauseToPerceive, frame:Supply, frame:BuildingSubparts, frame:Placing",,
98,a painting of a man in a suit and tie standing in a room full of zombies,"frame:Clothing, frame:Fullness, frame:AboundingWith, frame:People, frame:CauseToPerceive, frame:OccupyRank, frame:BuildingSubparts",,"mft:Authority, folk:Consideration"
100,painting of a church with people in front of it and a tree,"frame:Buildings, frame:People, frame:CauseToPerceive, frame:BiologicalArea, frame:PartOrientational",,mft:Harm
101,a close up of a painting of a person on a bed,"frame:Causation, frame:People, frame:CauseToPerceive, frame:Supply, frame:BuildingSubparts, frame:Placing",,
102,arafed painting of a black and white square with a white border,"frame:CauseToPerceive, frame:Color, frame:LocaleByUse",,
114,a painting of a group of people standing in front of a painting,"frame:Aggregate, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:PartOrientational, frame:Placing, frame:Organization",,mft:Harm
115,a painting of a man and woman sitting in a room with a baby,,,folk:Family
116,a close up of a painting of a man on a horse,,,"mft:Care, bhv:Benevolence, folk:Helping"
117,a painting of a group of people standing around a building,,,
118,arafed painting of a woman in a bed with a cat,,,
120,a painting of a man holding a baby and two other people,"frame:People, frame:CauseToPerceive, frame:PeopleByAge",,folk:Family
121,arafed painting of a painting of a group of people in a room,"frame:Aggregate, frame:People, frame:CauseToPerceive, frame:BuildingSubparts, frame:Organization",,
122,a painting of a group of people in a wooded area,"frame:Aggregate, frame:People, frame:Locale, frame:CauseToPerceive, frame:Organization",,
123,a painting of a man sitting on a ledge with angels,"frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:NaturalFeatures",,
124,a painting of a large crowd of people in a field,"frame:Aggregate, frame:People, frame:CauseToPerceive, frame:Dimension, frame:Size",,
125,a painting of a painting of a group of people in a field,"frame:People, frame:Aggregate, frame:CauseToPerceive, frame:Organization",,
128,a painting of a group of men sitting on the ground,"frame:Aggregate, frame:Organization, frame:ChangePosture, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:NaturalFeatures",,
129,a painting of a woman in a blue dress holding a cat,"frame:Clothing, frame:People, frame:CauseToPerceive, frame:Animals, frame:Color",,
131,a painting of a man laying on the ground with a knife,"frame:Weapon, frame:People, frame:CauseToPerceive, frame:Placing, frame:NaturalFeatures",,mft:Harm
132,a painting of a group of men with shovels and a man with a hat,"frame:Aggregate, frame:Accoutrements, frame:People, frame:CauseToPerceive, frame:Organization",,
133,a painting of jesus is surrounded by many people,"frame:LocativeRelation, frame:Besieging, frame:People, frame:CauseToPerceive",,
134,a painting of a woman in a red dress and gold jewelry,"frame:Clothing, frame:Accoutrements, frame:People, frame:CauseToPerceive, frame:Color",,
135,a painting of a group of men sitting around a table eating,"frame:Aggregate, frame:ChangePosture, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Organization",,mft:Care
136,a painting of two women are being tended by a man,"frame:People, frame:CauseToPerceive",,
137,a painting of a family sitting around a table eating food,"frame:ChangePosture, frame:BeingLocated, frame:CauseToPerceive, frame:Food, frame:Posture, frame:Placing",,"mft:Care, bhv:Benevolence, folk:Helping"
138,"a painting of two children in renaissance clothing, one holding a sword","frame:Clothing, frame:Weapon, frame:LocationInTime, frame:CauseToPerceive, frame:Timespan",,
139,a painting of a man riding a horse in a wooded area,"frame:People, frame:Locale, frame:CauseToPerceive, frame:Travel, frame:Assistance, frame:RideVehicle, frame:OperateVehicle",,"mft:Care, bhv:Benevolence, folk:Helping"
140,a painting of a group of people standing on a beach next to a body of water,"frame:Aggregate, frame:PartWhole, frame:Organization, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Substance, frame:NaturalFeatures",,
141,a painting of a group of people sitting on a cloud,"frame:Aggregate, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Organization",,
142,a painting of a woman playing a guitar in a room,"frame:NoiseMakers, frame:People, frame:CauseToPerceive, frame:BuildingSubparts",,
143,a painting of a man laying in a bed with a cross and other items,"frame:Causation, frame:People, frame:CauseToPerceive, frame:Supply, frame:BuildingSubparts, frame:Placing",,
144,painting of a naval scene with a ship in the water,"frame:Vehicle, frame:CauseToPerceive, frame:Military, frame:Substance, frame:LocaleByEvent",,
145,painting of a city with a river and a bridge in the middle,"frame:LocaleByUse, frame:PartInnerOuter, frame:CauseToPerceive, frame:NaturalFeatures, frame:Roadways, frame:PoliticalLocales",,"mft:Authority, folk:Structure"
146,a painting of a group of people standing around a crowd of people,"frame:Aggregate, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Organization",,
147,a painting of a woman sitting in a chair with a blue sash,"frame:ChangePosture, frame:Accoutrements, frame:ClothingParts, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Color",,
148,a painting of a boat in a stormy sea with a full moon,"frame:Vehicle, frame:AboundingWith, frame:Fullness, frame:Weather, frame:Locale, frame:CauseToPerceive, frame:NaturalFeatures",,
149,a painting of a group of men on horses with flags,"frame:Aggregate, frame:CauseToPerceive, frame:Organization",,
150,painting of a man standing on a rock in a rocky area,"frame:ChangePosture, frame:CauseHarm, frame:People, frame:BeingLocated, frame:Locale, frame:CauseToPerceive, frame:Posture, frame:Placing",,mft:Harm
151,a painting of a mountain scene with a person on a horse,"frame:People, frame:CauseToPerceive, frame:NaturalFeatures, frame:Assistance, frame:LocaleByEvent",,"mft:Care, bhv:Benevolence, folk:Helping"
152,a painting of a painting of a river with people on it,"frame:People, frame:CauseToPerceive, frame:NaturalFeatures",,folk:Structure
153,a painting of a courtroom with a large group of people sitting around,"frame:Aggregate, frame:ChangePosture, frame:Placing, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:BuildingSubparts, frame:Dimension, frame:Size, frame:Organization",,
154,a painting of a group of men standing around a horse drawn carriage,"frame:Vehicle, frame:Aggregate, frame:CreateRepresentation, frame:ChangePosture, frame:CreatePhysicalArtwork, frame:Placing, frame:Motion, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Assistance, frame:IntentionallyCreate, frame:Organization",,"mft:Care, bhv:Benevolence, folk:Helping"
155,a painting of a man holding a sword in front of two men,"frame:Inclusion, frame:Weapon, frame:Possession, frame:People, frame:CauseToPerceive, frame:Manipulation, frame:PartOrientational, frame:Containing",,"folk:Control, mft:Harm"
156,a painting of a person standing in a field with a sky background,"frame:People, frame:OccupyRank, frame:Locale, frame:CauseToPerceive",,"mft:Authority, folk:Consideration"
157,painting of two women in a cemetery with a horse and a cart,"frame:CauseToPerceive, frame:Bringing, frame:LocaleByUse, frame:Assistance",,"mft:Care, bhv:Benevolence, folk:Helping"
158,a painting of a woman sitting in a chair with a mirror,"frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing",,
161,a painting of a group of men in uniform standing next to each other,"frame:OccupyRank, frame:Aggregate, frame:CauseToPerceive, frame:Organization",,"mft:Authority, folk:Consideration"
162,painting of a painting of a man on a horse with a sword,"frame:People, frame:CauseToPerceive, frame:Weapon, frame:Assistance",,"mft:Care, bhv:Benevolence, folk:Helping"
163,a painting of a group of people sitting on a boat,"frame:Vehicle, frame:Aggregate, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Organization",,
164,a painting of a man in uniform riding a horse in a field,"frame:Clothing, frame:People, frame:CauseToPerceive, frame:Travel, frame:Assistance, frame:RideVehicle, frame:OperateVehicle",,"mft:Care, bhv:Benevolence, folk:Helping"
165,a painting of a street with tables and chairs in the middle of it,"frame:CauseToPerceive, frame:Roadways, frame:PartInnerOuter",,
166,a painting of a group of naked women sitting on top of a lily pond,"frame:Aggregate, frame:Organization, frame:ChangePosture, frame:Wearing, frame:BeingLocated, frame:CauseToPerceive, frame:Supply, frame:Posture, frame:Placing, frame:NaturalFeatures",,
167,a painting of a wave crashing over rocks on a beach,"frame:MotionNoise, frame:Event, frame:CauseToPerceive, frame:NaturalFeatures",,
168,a painting of a woman tied up to a door with a rope,"frame:Attaching, frame:Immobilization, frame:ConnectingArchitecture, frame:People, frame:CauseToPerceive, frame:KnotCreation, frame:InhibitMovement, frame:Connectors, frame:RopeManipulation, frame:Closure",,"folk:Control, folk:Willingness"
169,a painting of a group of men standing around a crowd,"frame:Aggregate, frame:ChangePosture, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Organization",,
170,painting of two orange flowers on a red background,"frame:Color, frame:CauseToPerceive",,
171,a painting of a group of people standing around a painting,"frame:Aggregate, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseToPerceive, frame:Posture, frame:Placing, frame:Organization",,
172,"frida de frida and frida, frida and frida, frida and fr",frame:Substance,,
174,a painting of a man with a speech bubble above his head,"frame:Text, frame:ObservableBodyParts, frame:Excreting, frame:People, frame:SpeakOnTopic, frame:CauseToPerceive",be:Disgust,mft:Degradation
175,a painting of a woman in a blue dress is crying,"frame:CommunicationNoise, frame:Clothing, frame:People, frame:CauseToPerceive, frame:Color, frame:MakeNoise",be:Sadness,mft:Harm
176,a close up of a painting of a man holding a gun,"frame:People, frame:CauseToPerceive, frame:Weapon",,
177,painting of a woman and a man in a boat in the water,"frame:Vehicle, frame:People, frame:Substance, frame:CauseToPerceive",,
178,painting of a group of people in a crowd with a man in the middle,"frame:Aggregate, frame:People, frame:CauseToPerceive, frame:PartInnerOuter, frame:Organization",,
179,a painting of a group of people in a field with a sky background,"frame:Aggregate, frame:People, frame:Locale, frame:CauseToPerceive, frame:Organization",,
180,a painting of a man on a horse with a bird on his back,"frame:People, frame:ObservableBodyParts, frame:CauseToPerceive, frame:Assistance",,"mft:Care, bhv:Benevolence, folk:Helping"
182,a painting of a woman reading a book in a room,"frame:Text, frame:People, frame:PartOrderedSegments, frame:CauseToPerceive, frame:BuildingSubparts",,
